PetID,Name,Birthdate,Price,Species,SpecialFeature
1,Luna,2/14/2020,57.81,Bird,flies
2,Simba,1/8/2022,36.23,Reptile,cold-blooded
3,Max,7/17/2021,46.94,Small Animal,yes
4,Ginger,11/21/2018,181.16,Dog,Foxhound
5,Shadow,3/12/2022,52.72,Cat,Burmilla
6,Charlie,9/2/2019,163.06,Small Animal,yes
7,Bella,6/5/2019,43.02,Rabbit,no
8,Lucky,2/1/2022,145.88,Small Animal,yes
9,Oliver,12/7/2020,85.52,Cat,Cymric
10,Daisy,1/15/2023,9.47,Rabbit,no
11,Rocky,12/27/2018,107.71,Reptile,warm
12,Molly,4/19/2021,84.87,Small Animal,yes
13,Tucker,2/14/2023,30.01,Cat,Korat
14,Lucy,7/28/2020,121.19,Rabbit,no
15,Leo,11/6/2022,59.33,Small Animal,yes
16,Sadie,5/22/2019,42.22,Reptile,warm
17,Coco,12/4/2018,129.6,Cat,Siberian Forest Cat
18,Buddy,5/11/2020,80.43,Small Animal,yes
19,Daisy,3/9/2021,77.96,Bird,walks
20,Pepper,8/29/2022,108.48,Rabbit,yes
21,Zeus,6/10/2020,70.92,Dog,Havanese
22,Bailey,12/2/2021,96.55,Bird,flies
23,Ruby,12/20/2022,180.27,Rabbit,no
24,Thor,3/28/2023,150.2,Small Animal,yes
25,Rosie,10/14/2018,94.7,Reptile,warm
26,Bandit,1/31/2019,101.44,Small Animal,yes
27,Chloe,1/23/2020,137.74,Cat,Dragon Li
28,Duke,5/7/2021,117.52,Rabbit,yes
29,Maggie,3/20/2023,22.81,Dog,Keeshond
30,Milo,9/12/2018,19.76,Small Animal,yes
31,Ginger,8/8/2020,29.17,Reptile,warm
32,Blue,9/16/2021,53.06,Small Animal,yes
33,Lola,7/21/2019,39.19,Rabbit,yes
34,Harley,7/1/2022,133.89,Cat,Peterbald
35,Abby,9/19/2020,160.15,Small Animal,yes
36,Finn,4/2/2023,88.1,Bird,walks
37,Roxy,5/10/2022,121.56,Small Animal,yes
38,Winston,12/14/2018,25.44,Reptile,warm
39,Mia,4/1/2019,78.83,Rabbit,no
40,Bear,10/30/2021,137.12,Cat,Colorpoint Shorthair
41,Stella,1/2/2023,40.95,Small Animal,yes
42,Jack,4/27/2020,73.57,Dog,Dalmatian
43,Nala,9/11/2022,60.23,Rabbit,yes
44,Rusty,6/24/2019,137.79,Small Animal,yes
45,Gatsby,11/1/2018,140.63,Reptile,cold-blooded
46,Koda,2/18/2021,111.36,Small Animal,yes
47,Marley,1/28/2023,31.76,Cat,Selkirk Rex
48,Gigi,2/14/2019,152.37,Rabbit,yes
49,Samson,11/11/2020,129.66,Small Animal,yes
50,Phoebe,6/8/2022,45.08,Bird,walks
51,Baxter,10/3/2018,83.01,Rabbit,no
52,Cleo,6/23/2021,127.47,Small Animal,yes
53,Bruno,11/17/2019,83.63,Dog,Collie
54,Luna,4/4/2022,159.1,Cat,Highlander
55,Zeus,2/7/2023,53.14, Small Animal,yes
56,Jasper,2/23/2020,86.02,Reptile,cold-blooded
57,Poppy,1/11/2021,17.36,Small Animal,yes
58,Cleo,9/24/2018,109.97,Rabbit,yes
59,Zeus,1/25/2022,56.38,Cat,Sokoke
60,Sadie,7/9/2020,18.83,Bird,flies
61,Mimi,3/24/2021,147.15,Small Animal,no
62,Max,9/16/2019,136.24,Reptile,warm
63,Taz,3/6/2023,74.33,Rabbit,yes
64,Poppy,11/19/2022,87.6,Dog,Chow Chow
65,Sasha,12/9/2018,56.94,Small Animal,yes
66,Lulu,5/25/2020,37.72,Cat,Javanese
67,Thor,11/3/2021,98.18,Bird,flies
68,Peanut,5/10/2019,60.44,Small Animal,no
69,Oscar,8/13/2022,106.46,Rabbit,no
70,Piper,9/1/2020,179.24,Reptile,cold-blooded
71,Luna,2/14/2020,152.53,Cat,Kurilian Bobtail
72,Simba,1/8/2022,55.69,Small Animal,yes
73,Max,7/17/2021,82.38,Reptile,warm
74,Ginger,11/21/2018,198.25,Bird,walks
75,Shadow,3/12/2022,61.67,Rabbit,yes
76,Charlie,9/2/2019,144.1,Small Animal,no
77,Bella,6/5/2019,97.36,Dog,Basenji
78,Lucky,2/1/2022,144.87,Small Animal,no
79,Oliver,12/7/2020,57.67,Rabbit,no
80,Daisy,1/15/2023,82.79,Reptile,cold-blooded
81,Rocky,12/27/2018,88.67,Small Animal,yes
82,Molly,4/19/2021,143.48,Bird,walks
83,Tucker,2/14/2023,75.03,Small Animal,no
84,Lucy,7/28/2020,133.89,Cat,American Curl
85,Leo,11/6/2022,19.9,Rabbit,yes
86,Sadie,5/22/2019,135.08,Reptile,cold-blooded
87,Coco,12/4/2018,114.53,Small Animal,yes
88,Buddy,5/11/2020,115.72,Dog,Afghan Hound
89,Pepper,3/9/2021,125.88,Small Animal,no
90,Zeus,8/29/2022,123.09,Rabbit,yes
91,Bailey,6/10/2020,38.62,Cat,Tiffany
92,Ruby,12/2/2021,181.41,Small Animal,yes
93,Thor,12/20/2022,110.49,Reptile,cold-blooded
94,Rosie,3/28/2023,71.6,Small Animal,yes
95,Bandit,10/14/2018,94.17,Bird,flies
96,Chloe,1/31/2019,177.52,Rabbit,no
97,Duke,1/23/2020,132.52,Small Animal,yes
98,Maggie,5/7/2021,39.33,Dog,Scottish Terrier
99,Milo,3/20/2023,81.05,Cat,Khao Manee
100,Blue,9/12/2018,30.69,Small Animal,yes
101,Lola,8/8/2020,86.05,Reptile,warm
102,Harley,9/16/2021,120.53,Rabbit,yes
103,Abby,7/21/2019,34.6,Small Animal,yes
104,Finn,7/1/2022,59.41,Bird,walks
105,Roxy,9/19/2020,48.81,Small Animal,yes
106,Winston,4/2/2023,64.76,Rabbit,no
107,Mia,5/10/2022,57.81,Reptile,warm
108,Bear,12/14/2018,36.23,Small Animal,yes
109,Stella,4/1/2019,46.94,Cat,Oriental Shorthair
110,Jack,10/30/2021,181.16,Small Animal,yes
111,Nala,1/2/2023,52.72,Dog,Lhasa Apso
112,Rusty,4/27/2020,163.06,Small Animal,yes
113,Gatsby,9/11/2022,43.02,Rabbit,yes
114,Koda,6/24/2019,145.88,Reptile,cold-blooded
115,Marley,11/1/2018,85.52,Small Animal,yes
116,Gigi,2/18/2021,9.47,Cat,Siberian
117,Samson,1/28/2023,107.71,Small Animal,yes
118,Phoebe,2/14/2019,84.87,Bird,flies
119,Baxter,11/11/2020,30.01,Rabbit,no
120,Cleo,6/8/2022,121.19,Small Animal,yes
121,Bruno,10/3/2018,59.33,Reptile,warm
122,Luna,6/23/2021,42.22,Small Animal,yes
123,Zeus,11/17/2019,129.6,Cat,Toyger
124,Jasper,4/4/2022,80.43,Rabbit,yes
125,Poppy,2/7/2023,77.96,Small Animal,yes
126,Cleo,2/23/2020,108.48,Dog,Bloodhound
127,Zeus,1/11/2021,70.92,Small Animal,yes
128,Sadie,9/24/2018,96.55,Reptile,warm
129,Mimi,1/25/2022,180.27,Small Animal,yes
130,Max,7/9/2020,150.2,Rabbit,no
131,Taz,3/24/2021,94.7,Bird,walks
132,Poppy,9/16/2019,101.44,Small Animal,yes
133,Sasha,3/6/2023,137.74,Cat,Aegean
134,Lulu,11/19/2022,117.52,Reptile,cold-blooded
135,Thor,12/9/2018,22.81,Small Animal,yes
136,Peanut,5/25/2020,19.76,Rabbit,yes
137,Oscar,11/3/2021,29.17,Small Animal,yes
138,Piper,5/10/2019,53.06,Dog,English Mastiff
139,Shadow,8/13/2022,39.19,Small Animal,yes
140,Bella,9/1/2020,133.89,Bird,walks
